ts-diff-r8 REF ENUMERATION - 2026-07-29T15:34:05Z
Full sweep, NO pattern used (git for-each-ref --format='%(objectname) %(refname)')
Both clones cloned from local path /workspace/farmtable. Zero commits authored by this leg.

############ /tmp/tsdiff/base  HEAD=e4e3d1352809428a5dfe386bb53c0b18a562332f ############
# ref count: 208  | all objects verified present in /workspace/farmtable
22f1e10171b64f6bb4c63dcf9ee1232544e95452 refs/remotes/origin/feat/extstore-a3-remote-data  [ON-ORIGIN-PATH: YES]
9566ffaa5b69b8935e6980a781ae292bde356d7b refs/remotes/origin/feat/extstore-a4-linkedaccount-store  [ON-ORIGIN-PATH: YES]
24f51da2b6b50872fac4d37c60449f0bb4cae70a refs/remotes/origin/feat/extstore-a5-linkedaccount-rpcs  [ON-ORIGIN-PATH: YES]
705b8c2121a3a41714a17ddb781e7607766fefb8 refs/remotes/origin/feat/extstore-a6-multistore  [ON-ORIGIN-PATH: YES]
c539aef0379559f34a7680e2e67316bfdebda4c2 refs/remotes/origin/feat/extstore-a7-cli-link-unlink  [ON-ORIGIN-PATH: YES]
086ff6b66ff4c65be91183af6888416219f70725 refs/remotes/origin/feat/extstore-a8-multistore-wiring  [ON-ORIGIN-PATH: YES]
777da7f9ec7731235d25723cdb8a3cc7e17751a9 refs/remotes/origin/feat/extstore-b1b5-passthrough  [ON-ORIGIN-PATH: YES]
31d67075540d8dfca358238a7bfe626d46599b04 refs/remotes/origin/feat/extstore-b2-taskToProto  [ON-ORIGIN-PATH: YES]
78e400ee31d6f7ce0e07853bc02b834a31f7496b refs/remotes/origin/feat/extstore-b3-lazy-registration  [ON-ORIGIN-PATH: YES]
17205ebe228e15a13a87f0026fbaf1c0568e91e3 refs/remotes/origin/feat/extstore-b4-watchtasks-guard  [ON-ORIGIN-PATH: YES]
0d72f31d0f3e699845572091c3c25d61d26e9ee1 refs/remotes/origin/feat/extstore-b6-collection-selector  [ON-ORIGIN-PATH: YES]
d95a755949837b47c5cdafca235bc854107fd90e refs/remotes/origin/feat/extstore-b7-read-only-mode  [ON-ORIGIN-PATH: YES]
3270c1a342556c25b74ffccb62032a9bf47a2ff2 refs/remotes/origin/feat/extstore-b8-poll-refresh  [ON-ORIGIN-PATH: YES]
25b235791c3887e6cbef5decbd0752128860c850 refs/remotes/origin/feat/extstore-c1-ephemeral  [ON-ORIGIN-PATH: YES]
a72444716765833f374c49af6650c22eb24a6368 refs/remotes/origin/feat/extstore-c2-graph-check  [ON-ORIGIN-PATH: YES]
2f938303daee7556a15db999cd70429357e2f8da refs/remotes/origin/feat/extstore-c3-graph-routing  [ON-ORIGIN-PATH: YES]
2d99af3cfee7c3daea38e1ca9446a464b002bd01 refs/remotes/origin/feat/extstore-c4-graph-test  [ON-ORIGIN-PATH: YES]
54c0a9316de928b1dabecd6be45f11f65d3d3020 refs/remotes/origin/feat/extstore-e1-e2e-test  [ON-ORIGIN-PATH: YES]
21d4abb79e2507f0f035fd1cc694b69b40bf4469 refs/remotes/origin/feat/f35-inspector-title-constant  [ON-ORIGIN-PATH: YES]
3e727168c790aae883c4998899d00c95a05db01c refs/remotes/origin/feat/f36-main-content-scroll  [ON-ORIGIN-PATH: YES]
6aeed20eb187d2d39afaa178c8517bb54a09cf58 refs/remotes/origin/feat/f37-scroll-to-item  [ON-ORIGIN-PATH: YES]
47fd58badbf3bbce667eaee9b1100c266bcdb833 refs/remotes/origin/feat/f38-independent-scroll  [ON-ORIGIN-PATH: YES]
ef9f9e88865ae970afe24219c7aea47d275a7826 refs/remotes/origin/feat/f39-independent-scroll-v3  [ON-ORIGIN-PATH: YES]
27265af319be306090b68bb4c46328e53c821858 refs/remotes/origin/feat/f40-inspector-scroll  [ON-ORIGIN-PATH: YES]
28fc26f6519be36acde3bee5b0a3938cba9c7e0a refs/remotes/origin/feat/f41-tree-center-animation  [ON-ORIGIN-PATH: YES]
354291425fad27503f85ca4aef4d7c4659e63ee0 refs/remotes/origin/feat/f43-tree-parent-child-only  [ON-ORIGIN-PATH: YES]
101a4d4e90bce6c78fb64329bee75ddef896f4a7 refs/remotes/origin/feat/f44-dependency-view  [ON-ORIGIN-PATH: YES]
